Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_073747,Salmonella phage STYP1,RefSeq,GCF_025790145.1,"Dyson,Z.A., Thanh,D.P., Bodhidatta,L., Mason,C.J., Rabaa,M.A., Vinh,P.V., Thanh,T.H., Thwaites,G.E., Baker,S., Holt,K.E.","National Center for Biotechnology Information, NIH",USA,4/27/23,,Peduovirus STYP1,28946,complete,Thailand,,Salmonella enterica,,1989
NC_074641,Methanocaldococcus fervens tailed virus 1,RefSeq,GCF_014518235.1,"Thiroux,S., Dupont,S., Nesbo,C.L., Bienvenu,N., Krupovic,M., L'Haridon,S., Marie,D., Forterre,P., Godfroy,A., Geslin,C.","National Center for Biotechnology Information, NIH",USA,4/27/23,,Deepoceanvirus guaymasense,31202,complete,,,Methanocaldococcus fervens,,
NC_074643,Lokiarchaeia virus VerdaV4,RefSeq,GCF_029870255.1,"Medvedeva,S., Sun,J., Yutin,N., Koonin,E., Nunoura,T., Rinke,C., Krupovic,M., Takaki,Y.","National Center for Biotechnology Information, NIH",USA,4/27/23,VerdaV4,Dolusvirus pacificense,20488,complete,"Japan:Aomori, off Shimokita Peninsula",,Asgard group archaeon,,8/12/06
NC_074644,Lokiarchaeia virus VerdaV1,RefSeq,GCF_029870225.1,"Medvedeva,S., Sun,J., Yutin,N., Koonin,E., Nunoura,T., Rinke,C., Krupovic,M., Takaki,Y.","National Center for Biotechnology Information, NIH",USA,4/27/23,VerdaV1,Dolusvirus shimokitaense,19940,complete,"Japan:Aomori, off Shimokita Peninsula",,Asgard group archaeon,,8/12/06
NC_074645,Thorarchaeia virus VerdaV2,RefSeq,GCF_029870235.1,"Medvedeva,S., Sun,J., Yutin,N., Koonin,E., Nunoura,T., Rinke,C., Krupovic,M., Takaki,Y.","National Center for Biotechnology Information, NIH",USA,4/27/23,VerdaV2,Tonitrusvirus shimokitaense,19541,complete,"Japan:Aomori, off Shimokita Peninsula",,Asgard group archaeon,,8/12/06
NC_073595,Arthrobacter phage Noely,RefSeq,GCF_003691775.1,"Zack,K., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,4/18/23,,Arthrobacter phage Noely,15013,complete,"USA: Pittsburgh, PA",PA,Arthrobacter globiformis,,6/1/17
NC_073596,Arthrobacter phage Corgi,RefSeq,GCF_003692095.1,"Rimple,P.A., Stoner,T.H., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,4/18/23,,Arthrobacter phage Corgi,15771,complete,"USA: Pittsburgh, PA",PA,Arthrobacter globiformis,,6/1/17
NC_073597,Arthrobacter phage Idaho,RefSeq,GCF_005145305.1,"Oduselu,T.J., Taiwo,A.E., Ayodele,I.E., Oyebamiji,T.O., Atoyebi,A.N., Omolola,C.M., Lazarus,F.U., Jose,L.A., Akinlolu,E.A., Ojebola,B.M., Olatinwo,S.O., Raifu,M.K., Adebiyi,I., Ogunleye,V.O., Faleye,T.O.C., Bakarey,A.S., Adewumi,O.M., Anetor,J.I., Ademowo,O.G., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,4/18/23,,Arthrobacter phage Idaho,15675,complete,"USA: Northampton, MA",MA,Arthrobacter sp. ATCC 21022,,10/1/17
NC_073598,Arthrobacter phage BlueFeather,RefSeq,GCF_011756575.1,"Demo,S.M., Guardino,K.C., Hobbs,B.M., Hoh,K.J., Lee,E., Vuong,I.K., Kapinos,A., Freise,A.C., Reddi,K., Moberg-Parker,J., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,4/18/23,,Arthrobacter phage BlueFeather,16302,complete,"USA: Los Angeles, CA",CA,Arthrobacter globiformis,,10/7/19
NC_073599,Arthrobacter phage Whytu,RefSeq,GCF_011756595.1,"Nakashima,L.G., Cayabyab,B.C.A.M.I.L.L., Fett,S.N., Liu,H., Rahman,M.U., Tse,V.Y., Vargas,A.S., Torres,C., Kapinos,A., Freise,A.C., Reddi,K., Moberg-Parker,J., Garlena,R.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,4/18/23,,Arthrobacter phage Whytu,15369,complete,"USA: Marina del Rey, CA",CA,Arthrobacter globiformis,,10/4/19
